sex,race,age_cat,decile_score,v_decile_score,is_recid,is_violent_recid,score_text,screening_date,two_year_recid,total_priors_count,c_charge_degree,c_charge_desc,start,end,event,juv_fel_count,juv_misd_count,juv_other_count,person_id,agency_text,maritalstatus,language,rawscore,age,juv_priors_count,adult_priors_count,is_violent,is_drug,is_property,is_fraud,is_weapon,is_traffic,is_sexual,is_public_disorder,is_justice_related,no_charge
male,hispanic,greater than 65,2,1,1,0,low,2014-03-31,1,2,felony,aggravated assault w/dead weap,0,178,1,0,0,0,62384.0,pretrial,widowed,english,-3.03,94,0,2,1,0,0,0,0,0,0,0,0,0
male,caucasian,greater than 65,1,1,0,0,low,2013-08-08,0,4,felony,arrest case no charge,0,967,0,0,0,0,56279.0,pretrial,divorced,english,-4.08,80,0,4,0,0,0,0,0,1,0,0,0,1
male,hispanic,greater than 65,1,1,0,0,low,2013-01-06,0,0,misdemeanor,battery,1,1181,0,0,0,0,50959.0,pretrial,married,english,-4.5,79,0,0,1,0,0,0,0,0,0,0,0,0
male,caucasian,greater than 65,1,1,0,0,low,2013-03-18,0,0,misdemeanor,battery,0,1110,0,0,0,0,53038.0,pretrial,married,english,-4.63,77,0,0,1,0,0,0,0,0,0,0,0,0
male,caucasian,greater than 65,1,1,0,0,low,2013-07-29,0,1,misdemeanor,disorderly conduct,0,977,0,0,0,0,56006.0,probation,divorced,english,-4.05,76,0,1,0,0,0,0,0,0,0,1,0,0
male,african-american,greater than 65,1,1,0,0,low,2013-10-02,0,0,misdemeanor,dui - enhanced,0,912,0,0,0,0,57794.0,pretrial,married,english,-3.23,75,0,0,0,0,0,0,0,1,0,0,0,0
male,caucasian,greater than 65,1,1,0,0,low,2013-03-06,0,3,felony,arrest case no charge,0,1122,0,0,0,0,52757.0,pretrial,divorced,english,-3.65,74,0,3,0,0,0,0,0,1,0,0,0,1
male,african-american,greater than 65,1,1,1,1,low,2014-04-01,1,1,misdemeanor,driving license suspended,1,692,1,0,0,0,62414.0,pretrial,married,english,-4.46,75,0,1,0,0,0,0,0,1,0,0,0,0
male,caucasian,greater than 65,1,1,0,0,low,2013-08-19,0,1,misdemeanor,dui property damage/injury,2,956,0,0,0,0,56536.0,pretrial,single,english,-3.62,74,0,1,0,0,1,0,0,1,0,0,0,0
male,other,greater than 65,1,1,0,0,low,2013-10-04,0,0,felony,aggravated assault w/firearm,0,910,0,0,0,0,57847.0,pretrial,single,english,-4.47,74,0,0,1,0,0,0,1,0,0,0,0,0
male,caucasian,greater than 65,4,1,1,0,low,2013-07-17,1,1,felony,poss/sell/deliver clonazepam,0,653,1,0,0,0,55835.0,pretrial,married,english,-4.02,73,0,1,0,1,0,0,0,0,0,0,0,0
male,caucasian,greater than 65,1,1,0,0,low,2014-02-11,0,2,misdemeanor,driving license suspended,0,780,0,0,0,0,39395.0,probation,married,english,-3.79,73,0,2,0,0,0,0,0,1,0,0,0,0
male,hispanic,greater than 65,1,1,0,0,low,2013-08-05,0,1,felony,arrest case no charge,0,970,0,0,0,0,56183.0,pretrial,married,english,-4.33,72,0,1,0,0,0,0,0,1,0,0,0,1
female,african-american,greater than 65,1,1,0,0,low,2013-08-01,0,5,felony,arrest case no charge,0,974,0,0,0,0,56070.0,pretrial,single,english,-3.83,72,0,5,0,0,0,0,0,1,0,0,0,1
female,african-american,greater than 65,1,1,0,0,low,2013-11-07,0,0,felony,felony petit theft,0,876,0,0,0,0,58790.0,pretrial,single,english,-4.23,72,0,0,0,0,1,0,0,0,0,0,0,0
male,caucasian,greater than 65,1,1,0,0,low,2013-03-07,0,2,felony,arrest case no charge,9,1121,0,0,0,0,52768.0,pretrial,widowed,english,-4.34,71,0,2,0,0,0,0,0,1,0,0,0,1
female,caucasian,greater than 65,1,1,0,0,low,2013-11-15,0,0,misdemeanor,disorderly intoxication,0,868,0,0,0,0,59024.0,pretrial,widowed,english,-4.35,72,0,0,0,0,0,0,0,0,0,1,0,0
male,caucasian,greater than 65,1,1,0,0,low,2013-10-20,0,0,misdemeanor,dui - enhanced,1,894,0,0,0,0,58245.0,pretrial,single,english,-3.61,71,0,0,0,0,0,0,0,1,0,0,0,0
male,caucasian,greater than 65,1,1,0,0,low,2013-01-11,0,0,misdemeanor,lve/scen/acc/veh/prop/damage,0,1176,0,0,0,0,51097.0,pretrial,single,english,-4.45,70,0,0,0,0,1,0,0,1,0,0,0,0
male,caucasian,greater than 65,1,1,0,0,low,2014-03-27,0,0,misdemeanor,battery,0,736,0,0,0,0,62293.0,pretrial,single,english,-4.29,71,0,0,1,0,0,0,0,0,0,0,0,0
male,caucasian,greater than 65,4,1,0,0,low,2013-09-23,0,7,felony,robbery sudd snatch no weapon,0,921,0,0,0,0,57523.0,pretrial,single,english,-3.67,69,0,7,1,0,0,0,1,0,0,0,0,0
male,caucasian,greater than 65,1,1,0,0,low,2013-06-17,0,1,misdemeanor,driving under the influence,0,1019,0,0,0,0,55122.0,pretrial,divorced,english,-3.85,69,0,1,0,0,0,0,0,1,0,0,0,0
male,caucasian,greater than 65,1,1,0,0,low,2014-03-19,0,3,felony,arrest case no charge,0,744,0,0,0,0,62112.0,pretrial,single,english,-4.26,70,0,3,0,0,0,0,0,1,0,0,0,1
male,caucasian,greater than 65,2,1,0,0,low,2013-08-18,0,13,felony,felony driving while lic suspd,0,957,0,0,0,0,9038.0,pretrial,divorced,english,-3.2,69,0,13,0,0,0,0,0,1,0,0,0,0
male,african-american,greater than 65,7,3,0,0,medium,2013-01-04,0,12,misdemeanor,possess cannabis/20 grams or less,0,1183,0,0,0,0,6924.0,probation,single,english,-2.51,68,0,12,0,1,0,0,0,0,0,0,0,0
male,african-american,greater than 65,1,2,0,0,low,2013-05-17,0,8,felony,driving while license revoked,24,1050,0,0,0,0,38597.0,pretrial,divorced,english,-2.73,68,0,8,0,0,0,0,0,1,0,0,0,0
male,caucasian,greater than 65,1,1,0,0,low,2013-06-25,0,1,misdemeanor,dui property damage/injury,0,1011,0,0,0,0,55564.0,pretrial,single,english,-4.4,68,0,1,0,0,1,0,0,1,0,0,0,0
male,caucasian,greater than 65,1,1,0,0,low,2013-11-08,0,3,misdemeanor,driving under the influence,0,502,0,0,0,0,34034.0,pretrial,single,english,-4.47,68,0,3,0,0,0,0,0,1,0,0,0,0
male,caucasian,greater than 65,1,1,0,0,low,2014-02-09,0,0,misdemeanor,dui property damage/injury,0,782,0,0,0,0,61108.0,pretrial,single,english,-4.4,68,0,0,0,0,1,0,0,1,0,0,0,0
male,caucasian,greater than 65,1,1,1,0,low,2014-03-26,1,11,felony,possession of cocaine,0,645,1,0,0,0,62279.0,pretrial,single,english,-4.2,68,0,11,0,1,0,0,0,0,0,0,0,0
female,other,greater than 65,1,1,0,0,low,2013-04-19,0,0,felony,grand theft in the 3rd degree,0,1078,0,0,0,0,54079.0,pretrial,married,english,-4.09,67,0,0,0,0,1,0,0,0,0,0,0,0
male,african-american,greater than 65,1,1,0,0,low,2013-03-04,0,0,misdemeanor,driving under the influence,0,1124,0,0,0,0,52667.0,pretrial,married,english,-4.53,67,0,0,0,0,0,0,0,1,0,0,0,0
male,caucasian,greater than 65,1,1,0,0,low,2013-04-18,0,1,misdemeanor,battery,0,1079,0,0,0,0,54034.0,pretrial,married,english,-3.35,67,0,1,1,0,0,0,0,0,0,0,0,0
