sex,race,age_cat,decile_score,v_decile_score,is_recid,is_violent_recid,score_text,screening_date,two_year_recid,total_priors_count,c_charge_degree,c_charge_desc,start,end,event,juv_fel_count,juv_misd_count,juv_other_count,c_charge_desc,person_id,agency_text,maritalstatus,language,rawscore,age,juv_priors_count,adult_priors_count
male,hispanic,greater than 65,2,1,1,0,low,2014-03-31,1,2,felony,aggravated assault w/dead weap,0,178,1,0,0,0,aggravated assault w/dead weap,62384.0,pretrial,widowed,english,-3.03,94,0,2
male,caucasian,greater than 65,1,1,0,0,low,2013-08-08,0,4,felony,arrest case no charge,0,967,0,0,0,0,arrest case no charge,56279.0,pretrial,divorced,english,-4.08,80,0,4
male,hispanic,greater than 65,1,1,0,0,low,2013-01-06,0,0,misdemeanor,battery,1,1181,0,0,0,0,battery,50959.0,pretrial,married,english,-4.5,79,0,0
male,caucasian,greater than 65,1,1,0,0,low,2013-03-18,0,0,misdemeanor,battery,0,1110,0,0,0,0,battery,53038.0,pretrial,married,english,-4.63,77,0,0
male,caucasian,greater than 65,1,1,0,0,low,2013-07-29,0,1,misdemeanor,disorderly conduct,0,977,0,0,0,0,disorderly conduct,56006.0,probation,divorced,english,-4.05,76,0,1
male,african-american,greater than 65,1,1,0,0,low,2013-10-02,0,0,misdemeanor,dui - enhanced,0,912,0,0,0,0,dui - enhanced,57794.0,pretrial,married,english,-3.23,75,0,0
male,caucasian,greater than 65,1,1,0,0,low,2013-03-06,0,3,felony,arrest case no charge,0,1122,0,0,0,0,arrest case no charge,52757.0,pretrial,divorced,english,-3.65,74,0,3
male,african-american,greater than 65,1,1,1,1,low,2014-04-01,1,1,misdemeanor,driving license suspended,1,692,1,0,0,0,driving license suspended,62414.0,pretrial,married,english,-4.46,75,0,1
male,caucasian,greater than 65,1,1,0,0,low,2013-08-19,0,1,misdemeanor,dui property damage/injury,2,956,0,0,0,0,dui property damage/injury,56536.0,pretrial,single,english,-3.62,74,0,1
male,asian,greater than 65,1,1,0,0,low,2013-10-04,0,0,felony,aggravated assault w/firearm,0,910,0,0,0,0,aggravated assault w/firearm,57847.0,pretrial,single,english,-4.47,74,0,0
male,caucasian,greater than 65,4,1,1,0,low,2013-07-17,1,1,felony,poss/sell/deliver clonazepam,0,653,1,0,0,0,poss/sell/deliver clonazepam,55835.0,pretrial,married,english,-4.02,73,0,1
male,caucasian,greater than 65,1,1,0,0,low,2014-02-11,0,2,misdemeanor,driving license suspended,0,780,0,0,0,0,driving license suspended,39395.0,probation,married,english,-3.79,73,0,2
male,hispanic,greater than 65,1,1,0,0,low,2013-08-05,0,1,felony,arrest case no charge,0,970,0,0,0,0,arrest case no charge,56183.0,pretrial,married,english,-4.33,72,0,1
female,african-american,greater than 65,1,1,0,0,low,2013-08-01,0,5,felony,arrest case no charge,0,974,0,0,0,0,arrest case no charge,56070.0,pretrial,single,english,-3.83,72,0,5
female,african-american,greater than 65,1,1,0,0,low,2013-11-07,0,0,felony,felony petit theft,0,876,0,0,0,0,felony petit theft,58790.0,pretrial,single,english,-4.23,72,0,0
male,caucasian,greater than 65,1,1,0,0,low,2013-03-07,0,2,felony,arrest case no charge,9,1121,0,0,0,0,arrest case no charge,52768.0,pretrial,widowed,english,-4.34,71,0,2
female,caucasian,greater than 65,1,1,0,0,low,2013-11-15,0,0,misdemeanor,disorderly intoxication,0,868,0,0,0,0,disorderly intoxication,59024.0,pretrial,widowed,english,-4.35,72,0,0
male,caucasian,greater than 65,1,1,0,0,low,2013-10-20,0,0,misdemeanor,dui - enhanced,1,894,0,0,0,0,dui - enhanced,58245.0,pretrial,single,english,-3.61,71,0,0
male,caucasian,greater than 65,1,1,0,0,low,2013-01-11,0,0,misdemeanor,lve/scen/acc/veh/prop/damage,0,1176,0,0,0,0,lve/scen/acc/veh/prop/damage,51097.0,pretrial,single,english,-4.45,70,0,0
male,caucasian,greater than 65,1,1,0,0,low,2014-03-27,0,0,misdemeanor,battery,0,736,0,0,0,0,battery,62293.0,pretrial,single,english,-4.29,71,0,0
male,caucasian,greater than 65,4,1,0,0,low,2013-09-23,0,7,felony,robbery sudd snatch no weapon,0,921,0,0,0,0,robbery sudd snatch no weapon,57523.0,pretrial,single,english,-3.67,69,0,7
male,caucasian,greater than 65,1,1,0,0,low,2013-06-17,0,1,misdemeanor,driving under the influence,0,1019,0,0,0,0,driving under the influence,55122.0,pretrial,divorced,english,-3.85,69,0,1
male,caucasian,greater than 65,1,1,0,0,low,2014-03-19,0,3,felony,arrest case no charge,0,744,0,0,0,0,arrest case no charge,62112.0,pretrial,single,english,-4.26,70,0,3
male,caucasian,greater than 65,2,1,0,0,low,2013-08-18,0,13,felony,felony driving while lic suspd,0,957,0,0,0,0,felony driving while lic suspd,9038.0,pretrial,divorced,english,-3.2,69,0,13
male,african-american,greater than 65,7,3,0,0,medium,2013-01-04,0,12,misdemeanor,possess cannabis/20 grams or less,0,1183,0,0,0,0,possess cannabis/20 grams or less,6924.0,probation,single,english,-2.51,68,0,12
male,african-american,greater than 65,1,2,0,0,low,2013-05-17,0,8,felony,driving while license revoked,24,1050,0,0,0,0,driving while license revoked,38597.0,pretrial,divorced,english,-2.73,68,0,8
male,caucasian,greater than 65,1,1,0,0,low,2013-06-25,0,1,misdemeanor,dui property damage/injury,0,1011,0,0,0,0,dui property damage/injury,55564.0,pretrial,single,english,-4.4,68,0,1
male,caucasian,greater than 65,1,1,0,0,low,2013-11-08,0,3,misdemeanor,driving under the influence,0,502,0,0,0,0,driving under the influence,34034.0,pretrial,single,english,-4.47,68,0,3
male,caucasian,greater than 65,1,1,0,0,low,2014-02-09,0,0,misdemeanor,dui property damage/injury,0,782,0,0,0,0,dui property damage/injury,61108.0,pretrial,single,english,-4.4,68,0,0
male,caucasian,greater than 65,1,1,1,0,low,2014-03-26,1,11,felony,possession of cocaine,0,645,1,0,0,0,possession of cocaine,62279.0,pretrial,single,english,-4.2,68,0,11
female,other,greater than 65,1,1,0,0,low,2013-04-19,0,0,felony,grand theft in the 3rd degree,0,1078,0,0,0,0,grand theft in the 3rd degree,54079.0,pretrial,married,english,-4.09,67,0,0
male,african-american,greater than 65,1,1,0,0,low,2013-03-04,0,0,misdemeanor,driving under the influence,0,1124,0,0,0,0,driving under the influence,52667.0,pretrial,married,english,-4.53,67,0,0
male,caucasian,greater than 65,1,1,0,0,low,2013-04-18,0,1,misdemeanor,battery,0,1079,0,0,0,0,battery,54034.0,pretrial,married,english,-3.35,67,0,1
female,african-american,greater than 65,1,1,0,0,low,2013-01-28,0,1,felony,arrest case no charge,1,1159,0,0,0,0,arrest case no charge,51618.0,pretrial,single,english,-4.39,66,0,1
male,caucasian,greater than 65,1,2,1,0,low,2013-03-13,1,6,misdemeanor,driving license suspended,0,234,1,0,0,0,driving license suspended,52941.0,pretrial,separated,english,-2.94,66,0,6
female,hispanic,greater than 65,1,1,0,0,low,2014-02-17,0,0,misdemeanor,dui - enhanced,0,774,0,0,0,0,dui - enhanced,61288.0,pretrial,divorced,english,-4.11,67,0,0
male,african-american,greater than 65,1,1,1,0,low,2014-03-04,1,1,felony,carrying concealed firearm,0,37,0,0,0,0,carrying concealed firearm,61684.0,pretrial,separated,english,-3.94,67,0,1
male,african-american,greater than 65,6,1,0,0,medium,2013-08-28,0,3,felony,arrest case no charge,0,947,0,0,0,0,arrest case no charge,49204.0,pretrial,married,english,-3.59,67,0,3
male,caucasian,greater than 65,5,1,0,0,medium,2013-01-19,0,0,felony,driving while license revoked,0,1168,0,0,0,0,driving while license revoked,51367.0,pretrial,divorced,english,-2.99,66,0,0
male,caucasian,greater than 65,1,1,1,0,low,2013-09-30,1,0,misdemeanor,dui- enhanced,0,86,1,0,0,0,dui- enhanced,57706.0,pretrial,divorced,english,-4.53,67,0,0
female,caucasian,greater than 65,1,1,0,0,low,2013-02-04,0,2,misdemeanor,leaving acc/unattended veh,0,1152,0,0,0,0,leaving acc/unattended veh,51829.0,pretrial,married,english,-3.45,66,0,2
male,caucasian,greater than 65,1,1,0,0,low,2013-01-31,0,0,misdemeanor,aggravated assault w/dead weap,0,1156,0,0,0,0,aggravated assault w/dead weap,51713.0,pretrial,divorced,english,-4.3,66,0,0
male,caucasian,greater than 65,1,1,0,0,low,2013-07-10,0,0,misdemeanor,dui level 0.15 or minor in veh,0,996,0,0,0,0,dui level 0.15 or minor in veh,55773.0,pretrial,single,english,-4.46,66,0,0
male,african-american,greater than 65,1,2,0,0,low,2013-08-07,0,3,misdemeanor,battery,0,968,0,0,0,0,battery,56257.0,pretrial,married,english,-2.73,66,0,3
male,african-american,greater than 65,5,4,0,0,medium,2014-02-06,0,22,misdemeanor,assault,0,785,0,0,0,0,assault,37476.0,pretrial,divorced,english,-2.0,66,0,22
male,other,greater than 65,1,1,0,0,low,2013-10-03,0,0,misdemeanor,battery,0,911,0,0,0,0,battery,57804.0,pretrial,married,english,-4.26,66,0,0
male,hispanic,greater than 65,1,1,0,0,low,2014-03-31,0,0,misdemeanor,battery,0,732,0,0,0,0,battery,62373.0,pretrial,married,english,-4.06,66,0,0
male,other,greater than 65,1,1,0,0,low,2013-08-14,0,0,felony,aggravated assault w/firearm,0,327,0,0,0,0,aggravated assault w/firearm,56418.0,pretrial,single,english,-4.31,66,0,0
male,caucasian,greater than 65,1,1,0,0,low,2014-02-10,0,4,misdemeanor,battery,10,781,0,0,0,0,battery,61111.0,pretrial,single,english,-3.17,66,0,4
male,african-american,greater than 65,4,2,0,0,low,2013-12-20,0,2,felony,tampering with physical evidence,0,833,0,0,0,0,tampering with physical evidence,59878.0,pretrial,single,english,-2.82,66,0,2
female,african-american,greater than 65,2,1,0,0,low,2013-10-21,0,5,felony,possession of cocaine,0,893,0,0,0,0,possession of cocaine,58264.0,pretrial,divorced,english,-3.89,66,0,5
male,caucasian,46-65,1,1,0,0,low,2013-01-08,0,0,misdemeanor,disorderly conduct,2,1179,0,0,0,0,disorderly conduct,50994.0,pretrial,widowed,english,-4.32,65,0,0
male,caucasian,46-65,1,1,0,0,low,2013-10-08,0,2,felony,aggravated assault w/dead weap,0,906,0,0,0,0,aggravated assault w/dead weap,57967.0,pretrial,married,english,-3.57,65,0,2
male,african-american,46-65,4,1,0,0,low,2013-09-22,0,6,misdemeanor,dui property damage/injury,2,640,0,0,0,0,dui property damage/injury,57469.0,pretrial,single,english,-3.18,65,0,6
male,hispanic,46-65,1,1,0,0,low,2013-09-16,0,0,misdemeanor,dui level 0.15 or minor in veh,0,928,0,0,0,0,dui level 0.15 or minor in veh,57305.0,pretrial,married,english,-4.42,65,0,0
male,caucasian,46-65,7,6,1,1,medium,2013-02-06,1,7,felony,aggravated assault w/dead weap,4,452,1,0,0,0,aggravated assault w/dead weap,51890.0,pretrial,single,english,-1.54,64,0,7
male,african-american,46-65,2,1,0,0,low,2013-06-26,0,1,felony,arrest case no charge,0,1010,0,0,0,0,arrest case no charge,55571.0,pretrial,divorced,english,-3.2,65,0,1
male,caucasian,46-65,1,1,0,0,low,2013-05-04,0,0,felony,cruelty toward child,1,1063,0,0,0,0,cruelty toward child,54498.0,pretrial,single,english,-4.4,65,0,0
male,african-american,46-65,1,1,0,0,low,2014-01-23,0,4,misdemeanor,driving license suspended,0,799,0,0,0,0,driving license suspended,60632.0,probation,married,english,-3.52,65,0,4
male,caucasian,46-65,1,1,0,0,low,2014-01-07,0,0,misdemeanor,dui- enhanced,0,815,0,0,0,0,dui- enhanced,60232.0,pretrial,significant other,english,-4.04,65,0,0
male,caucasian,46-65,3,1,0,0,low,2013-04-06,0,1,felony,grand theft in the 3rd degree,0,1091,0,0,0,0,grand theft in the 3rd degree,53703.0,pretrial,single,english,-3.08,64,0,1
male,caucasian,46-65,1,1,1,0,low,2013-02-17,1,0,felony,grand theft in the 3rd degree,23,33,1,0,0,0,grand theft in the 3rd degree,52249.0,pretrial,single,english,-3.86,64,0,0
male,asian,46-65,1,1,0,0,low,2013-08-20,0,0,misdemeanor,battery,0,955,0,0,0,0,battery,56578.0,pretrial,single,english,-4.19,64,0,0
female,african-american,46-65,1,1,0,0,low,2013-01-28,0,0,felony,aggravated assault w/dead weap,1,1159,0,0,0,0,aggravated assault w/dead weap,51619.0,pretrial,widowed,english,-4.14,64,0,0
male,caucasian,46-65,2,1,0,0,low,2014-01-07,0,2,felony,arrest case no charge,0,815,0,0,0,0,arrest case no charge,60235.0,pretrial,single,english,-3.64,65,0,2
female,caucasian,46-65,1,1,0,0,low,2014-01-27,0,0,misdemeanor,dui property damage/injury,0,795,0,0,0,0,dui property damage/injury,60725.0,pretrial,widowed,english,-3.33,64,0,0
male,caucasian,46-65,1,1,0,0,low,2013-01-26,0,3,felony,arrest case no charge,0,1161,0,0,0,0,arrest case no charge,51584.0,pretrial,single,english,-4.31,63,0,3
male,african-american,46-65,2,1,0,0,low,2013-02-20,0,3,felony,aggrav battery w/deadly weapon,0,1136,0,0,0,0,aggrav battery w/deadly weapon,25103.0,pretrial,married,english,-3.33,63,0,3
male,caucasian,46-65,1,1,0,0,low,2014-01-21,0,2,felony,att burgl unoccupied dwel,0,801,0,0,0,0,att burgl unoccupied dwel,60550.0,pretrial,single,english,-4.25,64,0,2
male,caucasian,46-65,1,1,0,0,low,2013-04-29,0,0,misdemeanor,battery,0,1068,0,0,0,0,battery,54327.0,pretrial,married,english,-4.03,64,0,0
