sex,race,age,age_cat,decile_score,v_decile_score,is_recid,is_violent_recid,score_text,screening_date,two_year_recid,priors_count,c_charge_degree,start,end,event,juv_fel_count,juv_misd_count,juv_other_count,juv_priors_count
male,other,69,greater than 45,1,1,0,0,low,2013-08-14,0,0,felony,0,327,0,0,0,0,0
male,african-american,34,25 - 45,3,1,1,1,low,2013-01-27,1,0,felony,9,159,1,0,0,0,0
male,african-american,24,less than 25,4,3,1,0,low,2013-04-14,1,4,felony,0,63,0,0,0,1,1
male,african-american,23,less than 25,8,6,0,0,high,2013-01-13,0,1,felony,0,1174,0,0,1,0,1
male,other,43,25 - 45,1,1,0,0,low,2013-03-26,0,2,felony,0,1102,0,0,0,0,0
male,other,44,25 - 45,1,1,0,0,low,2013-11-30,0,0,misdemeanor,1,853,0,0,0,0,0
male,caucasian,41,25 - 45,6,2,1,0,medium,2014-02-19,1,14,felony,5,40,1,0,0,0,0
male,other,43,25 - 45,4,3,0,0,low,2013-08-30,0,3,felony,0,265,0,0,0,0,0
female,caucasian,39,25 - 45,1,1,0,0,low,2014-03-16,0,0,misdemeanor,2,747,0,0,0,0,0
male,caucasian,21,less than 25,3,5,1,1,low,2013-11-04,1,1,felony,0,428,1,0,0,0,0
male,caucasian,27,25 - 45,4,4,0,0,low,2013-11-26,0,0,felony,0,857,0,0,0,0,0
male,african-american,23,less than 25,6,4,1,0,medium,2013-10-03,1,3,misdemeanor,4,128,1,0,0,0,0
female,caucasian,37,25 - 45,1,1,0,0,low,2013-01-01,0,0,misdemeanor,1,1186,0,0,0,0,0
male,african-american,41,25 - 45,4,2,0,0,low,2013-10-09,0,0,felony,0,905,0,0,0,0,0
female,caucasian,47,greater than 45,1,1,1,0,low,2013-10-30,1,1,felony,0,216,1,0,0,0,0
male,hispanic,37,25 - 45,1,1,0,0,low,2014-03-24,0,0,misdemeanor,0,739,0,0,0,0,0
male,african-american,25,25 - 45,10,9,0,0,high,2013-12-22,0,3,felony,0,463,0,0,0,0,0
male,caucasian,31,25 - 45,5,4,1,1,medium,2013-11-17,1,6,felony,0,241,1,0,0,0,0
male,african-american,21,less than 25,9,9,1,0,high,2013-04-18,1,1,felony,2,30,1,0,0,0,0
female,caucasian,21,less than 25,4,5,0,0,low,2013-11-22,0,0,felony,0,861,0,0,0,0,0
male,hispanic,24,less than 25,4,5,1,0,low,2013-02-08,1,1,felony,1,411,1,0,0,0,0
male,caucasian,43,25 - 45,1,2,0,0,low,2013-01-25,0,1,misdemeanor,0,1162,0,0,0,0,0
male,other,32,25 - 45,3,4,0,0,low,2013-05-11,0,0,misdemeanor,1,1056,0,0,0,0,0
male,african-american,27,25 - 45,3,3,1,1,low,2013-05-06,1,8,felony,16,116,0,0,0,0,0
female,caucasian,36,25 - 45,3,1,0,0,low,2013-03-18,0,3,felony,0,53,0,0,0,0,0
male,african-american,26,25 - 45,7,7,1,0,medium,2013-02-20,1,5,felony,0,391,0,0,0,1,1
male,caucasian,30,25 - 45,9,10,1,0,high,2013-01-28,1,9,felony,44,162,1,0,0,0,0
