person_id,decile_score,rawscore,v_decile_score,is_recid,is_violent_recid,two_year_recid,sex,race,age,priors_count,juv_priors_count,c_charge_degree,maritalstatus,maritalstatus_other,maritalstatus_separated,maritalstatus_significant other,race_caucasian,race_hispanic,race_other
62384.0,2,-3.03,1,1,0,1,0,hispanic,96,2,0,0,other,1.0,0.0,0.0,0.0,1.0,0.0
56279.0,1,-4.08,1,0,0,0,0,caucasian,83,4,0,0,separated,0.0,1.0,0.0,1.0,0.0,0.0
50959.0,1,-4.5,1,0,0,0,0,hispanic,83,0,0,1,significant other,0.0,0.0,1.0,0.0,1.0,0.0
53038.0,1,-4.63,1,0,0,0,0,caucasian,80,0,0,1,significant other,0.0,0.0,1.0,1.0,0.0,0.0
56006.0,1,-4.05,1,0,0,0,0,caucasian,79,1,0,1,separated,0.0,1.0,0.0,1.0,0.0,0.0
57794.0,1,-3.23,1,0,0,0,0,african-american,77,0,0,1,significant other,0.0,0.0,1.0,0.0,0.0,0.0
52757.0,1,-3.65,1,0,0,0,0,caucasian,77,3,0,0,separated,0.0,1.0,0.0,1.0,0.0,0.0
62414.0,1,-4.46,1,1,1,1,0,african-american,77,1,0,1,significant other,0.0,0.0,1.0,0.0,0.0,0.0
56536.0,1,-3.62,1,0,0,0,0,caucasian,77,1,0,1,single,0.0,0.0,0.0,1.0,0.0,0.0
57847.0,1,-4.47,1,0,0,0,0,other,76,0,0,0,single,0.0,0.0,0.0,0.0,0.0,1.0
55835.0,4,-4.02,1,1,0,1,0,caucasian,75,1,0,0,significant other,0.0,0.0,1.0,1.0,0.0,0.0
39395.0,1,-3.79,1,0,0,0,0,caucasian,75,2,0,1,significant other,0.0,0.0,1.0,1.0,0.0,0.0
56183.0,1,-4.33,1,0,0,0,0,hispanic,75,1,0,0,significant other,0.0,0.0,1.0,0.0,1.0,0.0
56070.0,1,-3.83,1,0,0,0,1,african-american,75,5,0,0,single,0.0,0.0,0.0,0.0,0.0,0.0
58790.0,1,-4.23,1,0,0,0,1,african-american,74,0,0,0,single,0.0,0.0,0.0,0.0,0.0,0.0
52768.0,1,-4.34,1,0,0,0,0,caucasian,74,2,0,0,other,1.0,0.0,0.0,1.0,0.0,0.0
59024.0,1,-4.35,1,0,0,0,1,caucasian,74,0,0,1,other,1.0,0.0,0.0,1.0,0.0,0.0
58245.0,1,-3.61,1,0,0,0,0,caucasian,74,0,0,1,single,0.0,0.0,0.0,1.0,0.0,0.0
51097.0,1,-4.45,1,0,0,0,0,caucasian,74,0,0,1,single,0.0,0.0,0.0,1.0,0.0,0.0
62293.0,1,-4.29,1,0,0,0,0,caucasian,73,0,0,1,single,0.0,0.0,0.0,1.0,0.0,0.0
57523.0,4,-3.67,1,0,0,0,0,caucasian,72,7,0,0,single,0.0,0.0,0.0,1.0,0.0,0.0
55122.0,1,-3.85,1,0,0,0,0,caucasian,72,1,0,1,separated,0.0,1.0,0.0,1.0,0.0,0.0
62112.0,1,-4.26,1,0,0,0,0,caucasian,72,3,0,0,single,0.0,0.0,0.0,1.0,0.0,0.0
9038.0,2,-3.2,1,0,0,0,0,caucasian,71,13,0,0,separated,0.0,1.0,0.0,1.0,0.0,0.0
6924.0,7,-2.51,3,0,0,0,0,african-american,71,12,0,1,single,0.0,0.0,0.0,0.0,0.0,0.0
38597.0,1,-2.73,2,0,0,0,0,african-american,71,8,0,0,separated,0.0,1.0,0.0,0.0,0.0,0.0
55564.0,1,-4.4,1,0,0,0,0,caucasian,71,1,0,1,single,0.0,0.0,0.0,1.0,0.0,0.0
34034.0,1,-4.47,1,0,0,0,0,caucasian,71,3,0,1,single,0.0,0.0,0.0,1.0,0.0,0.0
61108.0,1,-4.4,1,0,0,0,0,caucasian,70,0,0,1,single,0.0,0.0,0.0,1.0,0.0,0.0
62279.0,1,-4.2,1,1,0,1,0,caucasian,70,11,0,0,single,0.0,0.0,0.0,1.0,0.0,0.0
54079.0,1,-4.09,1,0,0,0,1,other,70,0,0,0,significant other,0.0,0.0,1.0,0.0,0.0,1.0
52667.0,1,-4.53,1,0,0,0,0,african-american,70,0,0,1,significant other,0.0,0.0,1.0,0.0,0.0,0.0
54034.0,1,-3.35,1,0,0,0,0,caucasian,70,1,0,1,significant other,0.0,0.0,1.0,1.0,0.0,0.0
51618.0,1,-4.39,1,0,0,0,1,african-american,70,1,0,0,single,0.0,0.0,0.0,0.0,0.0,0.0
52941.0,1,-2.94,2,1,0,1,0,caucasian,69,6,0,1,separated,0.0,1.0,0.0,1.0,0.0,0.0
61288.0,1,-4.11,1,0,0,0,1,hispanic,69,0,0,1,separated,0.0,1.0,0.0,0.0,1.0,0.0
61684.0,1,-3.94,1,1,0,1,0,african-american,69,1,0,0,separated,0.0,1.0,0.0,0.0,0.0,0.0
49204.0,6,-3.59,1,0,0,0,0,african-american,69,3,0,0,significant other,0.0,0.0,1.0,0.0,0.0,0.0
51367.0,5,-2.99,1,0,0,0,0,caucasian,69,0,0,0,separated,0.0,1.0,0.0,1.0,0.0,0.0
58185.0,3,-3.61,1,0,0,0,1,caucasian,69,5,0,0,significant other,0.0,0.0,1.0,1.0,0.0,0.0
57706.0,1,-4.53,1,1,0,1,0,caucasian,69,0,0,1,separated,0.0,1.0,0.0,1.0,0.0,0.0
51829.0,1,-3.45,1,0,0,0,1,caucasian,69,2,0,1,significant other,0.0,0.0,1.0,1.0,0.0,0.0
51713.0,1,-4.3,1,0,0,0,0,caucasian,69,0,0,1,separated,0.0,1.0,0.0,1.0,0.0,0.0
55773.0,1,-4.46,1,0,0,0,0,caucasian,69,0,0,1,single,0.0,0.0,0.0,1.0,0.0,0.0
56257.0,1,-2.73,2,0,0,0,0,african-american,69,3,0,1,significant other,0.0,0.0,1.0,0.0,0.0,0.0
37476.0,5,-2.0,4,0,0,0,0,african-american,69,22,0,1,separated,0.0,1.0,0.0,0.0,0.0,0.0
57804.0,1,-4.26,1,0,0,0,0,other,69,0,0,1,significant other,0.0,0.0,1.0,0.0,0.0,1.0
62373.0,1,-4.06,1,0,0,0,0,hispanic,69,0,0,1,significant other,0.0,0.0,1.0,0.0,1.0,0.0
56418.0,1,-4.31,1,0,0,0,0,other,69,0,0,0,single,0.0,0.0,0.0,0.0,0.0,1.0
61111.0,1,-3.17,1,0,0,0,0,caucasian,68,4,0,1,single,0.0,0.0,0.0,1.0,0.0,0.0
59878.0,4,-2.82,2,0,0,0,0,african-american,68,2,0,0,single,0.0,0.0,0.0,0.0,0.0,0.0
58264.0,2,-3.89,1,0,0,0,1,african-american,68,5,0,0,separated,0.0,1.0,0.0,0.0,0.0,0.0
50994.0,1,-4.32,1,0,0,0,0,caucasian,68,0,0,1,other,1.0,0.0,0.0,1.0,0.0,0.0
57967.0,1,-3.57,1,0,0,0,0,caucasian,68,2,0,0,significant other,0.0,0.0,1.0,1.0,0.0,0.0
57469.0,4,-3.18,1,0,0,0,0,african-american,68,6,0,1,single,0.0,0.0,0.0,0.0,0.0,0.0
57305.0,1,-4.42,1,0,0,0,0,hispanic,68,0,0,1,significant other,0.0,0.0,1.0,0.0,1.0,0.0
51890.0,7,-1.54,6,1,1,1,0,caucasian,68,7,0,0,single,0.0,0.0,0.0,1.0,0.0,0.0
55571.0,2,-3.2,1,0,0,0,0,african-american,68,1,0,0,separated,0.0,1.0,0.0,0.0,0.0,0.0
54498.0,1,-4.4,1,0,0,0,0,caucasian,67,0,0,0,single,0.0,0.0,0.0,1.0,0.0,0.0
60632.0,1,-3.52,1,0,0,0,0,african-american,67,4,0,1,significant other,0.0,0.0,1.0,0.0,0.0,0.0
60232.0,1,-4.04,1,0,0,0,0,caucasian,67,0,0,1,significant other,0.0,0.0,1.0,1.0,0.0,0.0
53703.0,3,-3.08,1,0,0,0,0,caucasian,67,1,0,0,single,0.0,0.0,0.0,1.0,0.0,0.0
59672.0,1,-4.43,1,1,1,1,0,hispanic,67,0,0,1,significant other,0.0,0.0,1.0,0.0,1.0,0.0
52249.0,1,-3.86,1,1,0,1,0,caucasian,67,0,0,0,single,0.0,0.0,0.0,1.0,0.0,0.0
56578.0,1,-4.19,1,0,0,0,0,other,67,0,0,1,single,0.0,0.0,0.0,0.0,0.0,1.0
51619.0,1,-4.14,1,0,0,0,1,african-american,67,0,0,0,other,1.0,0.0,0.0,0.0,0.0,0.0
60235.0,2,-3.64,1,0,0,0,0,caucasian,67,2,0,0,single,0.0,0.0,0.0,1.0,0.0,0.0
60725.0,1,-3.33,1,0,0,0,1,caucasian,67,0,0,1,other,1.0,0.0,0.0,1.0,0.0,0.0
51584.0,1,-4.31,1,0,0,0,0,caucasian,67,3,0,0,single,0.0,0.0,0.0,1.0,0.0,0.0
25103.0,2,-3.33,1,0,0,0,0,african-american,67,3,0,0,significant other,0.0,0.0,1.0,0.0,0.0,0.0
60550.0,1,-4.25,1,0,0,0,0,caucasian,67,2,0,0,single,0.0,0.0,0.0,1.0,0.0,0.0
54327.0,1,-4.03,1,0,0,0,0,caucasian,67,0,0,1,significant other,0.0,0.0,1.0,1.0,0.0,0.0
57320.0,1,-4.21,1,0,0,0,0,hispanic,67,2,0,0,separated,0.0,1.0,0.0,0.0,1.0,0.0
54314.0,1,-3.98,1,0,0,0,0,caucasian,67,0,0,1,single,0.0,0.0,0.0,1.0,0.0,0.0
56488.0,1,-4.5,1,0,0,0,0,caucasian,67,0,0,1,single,0.0,0.0,0.0,1.0,0.0,0.0
52507.0,1,-4.02,1,0,0,0,0,hispanic,67,0,0,0,separated,0.0,1.0,0.0,0.0,1.0,0.0
61624.0,4,-2.91,2,0,0,0,0,african-american,67,8,0,0,single,0.0,0.0,0.0,0.0,0.0,0.0
7114.0,2,-3.21,1,1,0,1,0,african-american,66,5,0,1,single,0.0,0.0,0.0,0.0,0.0,0.0
58788.0,1,-3.95,1,0,0,0,0,caucasian,66,3,0,0,single,0.0,0.0,0.0,1.0,0.0,0.0
60889.0,1,-4.15,1,0,0,0,0,caucasian,66,0,0,0,single,0.0,0.0,0.0,1.0,0.0,0.0
55961.0,6,-3.61,1,1,0,1,0,african-american,66,8,0,0,separated,0.0,1.0,0.0,0.0,0.0,0.0
52983.0,1,-3.95,1,0,0,0,1,caucasian,66,1,0,1,single,0.0,0.0,0.0,1.0,0.0,0.0
52461.0,1,-4.49,1,0,0,0,0,caucasian,66,0,0,1,significant other,0.0,0.0,1.0,1.0,0.0,0.0
52425.0,2,-3.72,1,1,0,1,0,african-american,66,5,0,0,separated,0.0,1.0,0.0,0.0,0.0,0.0
33083.0,1,-2.76,2,0,0,0,0,caucasian,66,1,0,0,single,0.0,0.0,0.0,1.0,0.0,0.0
55233.0,1,-2.98,1,1,1,0,0,african-american,66,3,0,0,significant other,0.0,0.0,1.0,0.0,0.0,0.0
41026.0,6,-2.7,2,1,0,1,0,african-american,66,33,0,0,single,0.0,0.0,0.0,0.0,0.0,0.0
61760.0,1,-4.42,1,0,0,0,0,other,66,0,0,1,significant other,0.0,0.0,1.0,0.0,0.0,1.0
59668.0,8,-2.63,2,1,0,1,1,african-american,66,11,0,0,single,0.0,0.0,0.0,0.0,0.0,0.0
56430.0,1,-4.01,1,1,0,1,0,caucasian,66,0,0,1,single,0.0,0.0,0.0,1.0,0.0,0.0
52530.0,1,-3.93,1,0,0,0,0,african-american,66,3,0,0,separated,0.0,1.0,0.0,0.0,0.0,0.0
56541.0,1,-4.29,1,0,0,0,0,caucasian,66,0,0,1,significant other,0.0,0.0,1.0,1.0,0.0,0.0
53712.0,1,-4.47,1,0,0,0,0,caucasian,66,0,0,1,separated,0.0,1.0,0.0,1.0,0.0,0.0
57417.0,1,-4.13,1,0,0,0,0,caucasian,66,1,0,0,single,0.0,0.0,0.0,1.0,0.0,0.0
51154.0,1,-4.15,1,0,0,0,0,caucasian,66,1,0,1,single,0.0,0.0,0.0,1.0,0.0,0.0
53649.0,3,-3.0,1,0,0,0,0,caucasian,66,2,0,1,other,1.0,0.0,0.0,1.0,0.0,0.0
52369.0,3,-3.83,1,0,0,0,0,caucasian,65,4,0,1,significant other,0.0,0.0,1.0,1.0,0.0,0.0
51336.0,6,-3.09,1,0,0,0,0,caucasian,65,3,0,0,single,0.0,0.0,0.0,1.0,0.0,0.0
54342.0,1,-3.73,1,0,0,0,0,caucasian,65,2,0,1,separated,0.0,1.0,0.0,1.0,0.0,0.0
54581.0,1,-4.24,1,0,0,0,1,caucasian,65,0,0,1,separated,0.0,1.0,0.0,1.0,0.0,0.0
53627.0,10,-2.18,4,0,0,0,0,african-american,65,11,0,0,single,0.0,0.0,0.0,0.0,0.0,0.0
58349.0,5,-3.74,1,0,0,0,0,african-american,65,7,0,1,single,0.0,0.0,0.0,0.0,0.0,0.0
