two_year_recid,sex,age,priors_count,juv_priors_count,c_charge_degree,maritalstatus_other,maritalstatus_separated,maritalstatus_significant other,race_african-american,race_hispanic,race_other
1,0,96,2,0,0,1.0,0.0,0.0,0.0,1.0,0.0
0,0,83,4,0,0,0.0,1.0,0.0,0.0,0.0,0.0
0,0,83,0,0,1,0.0,0.0,1.0,0.0,1.0,0.0
0,0,80,0,0,1,0.0,0.0,1.0,0.0,0.0,0.0
0,0,79,1,0,1,0.0,1.0,0.0,0.0,0.0,0.0
0,0,77,0,0,1,0.0,0.0,1.0,1.0,0.0,0.0
0,0,77,3,0,0,0.0,1.0,0.0,0.0,0.0,0.0
1,0,77,1,0,1,0.0,0.0,1.0,1.0,0.0,0.0
0,0,77,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,0,76,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0
1,0,75,1,0,0,0.0,0.0,1.0,0.0,0.0,0.0
0,0,75,2,0,1,0.0,0.0,1.0,0.0,0.0,0.0
0,0,75,1,0,0,0.0,0.0,1.0,0.0,1.0,0.0
0,1,75,5,0,0,0.0,0.0,0.0,1.0,0.0,0.0
0,1,74,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0
0,0,74,2,0,0,1.0,0.0,0.0,0.0,0.0,0.0
0,1,74,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0
0,0,74,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,0,74,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,0,73,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,0,72,7,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,72,1,0,1,0.0,1.0,0.0,0.0,0.0,0.0
0,0,72,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,71,13,0,0,0.0,1.0,0.0,0.0,0.0,0.0
0,0,71,12,0,1,0.0,0.0,0.0,1.0,0.0,0.0
0,0,71,8,0,0,0.0,1.0,0.0,1.0,0.0,0.0
0,0,71,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,0,71,3,0,1,0.0,0.0,0.0,0.0,0.0,0.0
0,0,70,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
1,0,70,11,0,0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,70,0,0,0,0.0,0.0,1.0,0.0,0.0,1.0
0,0,70,0,0,1,0.0,0.0,1.0,1.0,0.0,0.0
0,0,70,1,0,1,0.0,0.0,1.0,0.0,0.0,0.0
0,1,70,1,0,0,0.0,0.0,0.0,1.0,0.0,0.0
1,0,69,6,0,1,0.0,1.0,0.0,0.0,0.0,0.0
